	Time	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	Rep
1616	0.0	0.09661460000000001	0.5746126	0.21022860000000002	0.1147365	0.7853433000000001	0.45421059999999996	0.2320988	0.6288126	0.7206465999999999	0.6960745	9
1617	5.0	0.12154010000000001	0.6398689000000001	0.18017950000000002	0.0890356	0.7033687	0.4218557	0.1295544	0.6202588000000001	0.6101641	0.6807134	9
1618	10.0	0.1011627	0.558187	0.2650595	0.0785232	0.7013144	0.5226604	0.12496420000000001	0.6133295999999999	0.48538190000000003	0.6164893	9
1619	15.0	0.08226339999999999	0.5425869000000001	0.23010300000000003	0.1214731	0.6527761999999999	0.498684	0.0837313	0.5169587999999999	0.5102745	0.7016781	9
1620	20.0	0.0958065	0.5885988	0.29162	0.07878339999999999	0.6507438	0.3880225	0.0666511	0.5279278000000001	0.4650742	0.58959	9
1621	25.0	0.0818048	0.6725215	0.21264	0.09869460000000001	0.5668708	0.5974833	0.0721038	0.4438775	0.39046479999999995	0.5412685	9
1622	30.0	0.08687610000000001	0.4941754	0.24741509999999997	0.1012705	0.6835137	0.5816713000000001	0.060503999999999995	0.4982366	0.37294859999999996	0.6442157	9
1623	35.0	0.0440858	0.5432566999999999	0.2654228	0.1008656	0.730263	0.4668143	0.0769697	0.526832	0.37834359999999995	0.7361978	9
1624	40.0	0.0711281	0.5949153	0.2060031	0.09454889999999999	0.7113109999999999	0.5046585	0.0790342	0.38294659999999997	0.35872	0.5363584	9
1625	45.0	0.068935	0.5166644	0.21132779999999998	0.1068593	0.7891064999999999	0.4549444	0.0426723	0.34546540000000003	0.33881479999999997	0.6220661999999999	9
1626	50.0	0.08582089999999999	0.5323001	0.2277074	0.1021431	0.6846047	0.502533	0.049206900000000005	0.3988152	0.31282519999999997	0.6926053000000001	9
1627	55.0	0.0761555	0.4955267	0.24802570000000002	0.1520392	0.6854318	0.5692292	0.045639099999999995	0.460945	0.2620426	0.6509839	9
1628	60.0	0.08528430000000001	0.5445104000000001	0.19818570000000002	0.07541360000000001	0.6785078	0.490005	0.029455900000000004	0.3123866	0.286451	0.5176488	9
1629	65.0	0.09912389999999999	0.5556446	0.2197825	0.0755447	0.6071994000000001	0.5151643	0.028668700000000002	0.3443355	0.27542659999999997	0.5682	9
1630	70.0	0.13247279999999997	0.4505413	0.21225270000000002	0.12636630000000001	0.6224997	0.4575861	0.0257392	0.3288006	0.2339685	0.4922799	9
1631	75.0	0.070522	0.4735097	0.21460029999999997	0.12014269999999999	0.5772714	0.5421528	0.0563825	0.2619831	0.25560570000000005	0.4881629	9
1632	80.0	0.0631538	0.529361	0.22440770000000002	0.10803489999999999	0.6195295	0.47328739999999997	0.07281660000000001	0.3220852	0.23614490000000002	0.6959654000000001	9
1633	85.0	0.0662782	0.6069113	0.18762379999999998	0.1520305	0.7234257	0.4700934	0.022684299999999998	0.35691100000000003	0.2335362	0.658696	9
1634	90.0	0.10387460000000001	0.5483199000000001	0.2637899	0.13913499999999998	0.7061135999999999	0.4713818	0.0421348	0.33646090000000006	0.2680953	0.5177842	9
1635	95.0	0.0589549	0.5582013000000001	0.28853690000000004	0.12947809999999998	0.6680218000000001	0.49286040000000003	0.023730200000000003	0.3133012	0.23892460000000001	0.6133395	9
1636	100.0	0.0984259	0.5236956	0.1970547	0.1498513	0.7600458999999999	0.4757854	0.0267231	0.2893683	0.23206479999999996	0.570036	9
1637	105.0	0.1021846	0.5211363	0.2230069	0.10946680000000002	0.6596638000000001	0.4964517	0.026388799999999997	0.3298594	0.21484479999999997	0.4947763	9
1638	110.0	0.0539076	0.5302663000000001	0.1515663	0.11973010000000002	0.7201509	0.5743954000000001	0.0169046	0.3893355	0.19769379999999998	0.666305	9
1639	115.0	0.0880906	0.4770598	0.22717110000000001	0.1458586	0.6479984000000001	0.6026954000000001	0.021307800000000002	0.382361	0.23391479999999998	0.7567376	9
1640	120.0	0.0982023	0.6017005999999999	0.2120214	0.18184129999999998	0.7893119000000001	0.5172008	0.015462700000000001	0.3576224	0.234445	0.7069584	9
1641	125.0	0.0787251	0.5077417000000001	0.2358172	0.1391797	0.6965929	0.5007703	0.0224552	0.29741409999999996	0.29292929999999995	0.6504260000000001	9
1642	130.0	0.0949163	0.571842	0.22508579999999997	0.1317992	0.6691341	0.4942811	0.0222317	0.34180040000000006	0.1945149	0.6775595999999999	9
1643	135.0	0.0769471	0.4384001	0.1750632	0.184592	0.6365930999999999	0.5766020000000001	0.0100771	0.3253811	0.2064817	0.6276781	9
1644	140.0	0.1075866	0.5525941	0.2360844	0.1302832	0.5629727	0.5014797000000001	0.0229376	0.40384509999999996	0.1622838	0.6087853	9
1645	145.0	0.1141988	0.5168402	0.23542129999999997	0.1670317	0.5744127	0.5246064	0.0120041	0.3211786	0.2183873	0.7164963000000001	9
1646	150.0	0.055823000000000005	0.5139942	0.1779826	0.1583957	0.6146249	0.5809156	0.0179176	0.3887698	0.2055676	0.6258453	9
1647	155.0	0.0704686	0.5699548000000001	0.17680829999999997	0.1829907	0.5825911	0.605184	0.035296499999999995	0.3183259	0.1751377	0.6585581	9
1648	160.0	0.09629860000000001	0.5498583	0.22147870000000003	0.1927019	0.4955465	0.5522726	0.0182724	0.3887786	0.1148309	0.6415517	9
1649	165.0	0.1137132	0.5042123	0.2528493	0.1922593	0.5980141	0.5079682	0.010598100000000001	0.3309623	0.13685920000000001	0.6401796	9
1650	170.0	0.09498839999999999	0.5714369	0.20941120000000002	0.2388605	0.6153689	0.5303376999999999	0.0218132	0.36491690000000004	0.1807167	0.6621676	9
1651	175.0	0.11468199999999999	0.5076012	0.186167	0.20889580000000002	0.5995749	0.5400881999999999	0.0134232	0.330821	0.1493062	0.6817939000000001	9
1652	180.0	0.12314389999999999	0.5015784000000001	0.21914120000000004	0.1788959	0.5717960999999999	0.5517276999999999	0.0060692	0.3371903	0.1584885	0.6630060999999999	9
1653	185.0	0.07573239999999999	0.5433418999999999	0.216102	0.2539433	0.5829802	0.5577526999999999	0.0125302	0.35395879999999996	0.1909761	0.7755519000000001	9
1654	190.0	0.0814258	0.5616167	0.27903190000000005	0.1787533	0.552569	0.5417517	0.0189864	0.3377925	0.18096489999999998	0.6409518	9
1655	195.0	0.0998865	0.6210805	0.2023395	0.20861239999999998	0.6024351	0.5291755	0.0111488	0.3213975	0.1766843	0.6583933000000001	9
1656	200.0	0.0925295	0.5949671999999999	0.2496167	0.34106090000000006	0.640993	0.5116202	0.0060181	0.4191501	0.2030886	0.6306569000000001	9
1657	205.0	0.080427	0.623736	0.2485034	0.1711156	0.7468755	0.5657593000000001	0.0069021	0.3228707	0.1811535	0.5861618000000001	9
1658	210.0	0.0899319	0.6501529	0.2612953	0.2131469	0.6532545999999999	0.5652019	0.0084166	0.2749498	0.1975575	0.70325	9
1659	215.0	0.0625975	0.4953361	0.25902929999999996	0.2301234	0.6784871	0.5325201999999999	0.008635700000000001	0.31018190000000007	0.1654287	0.6419640999999999	9
1660	220.0	0.0931691	0.5401117	0.2301576	0.1853864	0.667501	0.5877821	0.0178165	0.3932045	0.1270104	0.6695104000000001	9
1661	225.0	0.0872523	0.4906514	0.285485	0.16697320000000002	0.6423626	0.6488293	0.0107801	0.3552309	0.1519568	0.6050452	9
1662	230.0	0.0920702	0.5536344	0.25086410000000003	0.2356797	0.6414392	0.5649128999999999	0.014856799999999998	0.2940208	0.146175	0.7217729	9
1663	235.0	0.067135	0.5711689	0.1967857	0.26346220000000004	0.6639136999999999	0.5658771	0.0161398	0.43316409999999994	0.1654995	0.6619316999999999	9
1664	240.0	0.0806313	0.5118235999999999	0.2199723	0.2554659	0.691711	0.6077236999999999	0.017431400000000003	0.3817699	0.1681426	0.5192806	9
1665	245.0	0.056738800000000006	0.5351899	0.22598539999999998	0.2360346	0.6373846	0.6422816	0.007143899999999999	0.3336117	0.2439239	0.6127308000000001	9
1666	250.0	0.1014339	0.5363647	0.2211351	0.2411425	0.6056441999999999	0.5666318	0.012295200000000001	0.3042757	0.16070639999999997	0.578868	9
1667	255.0	0.1279155	0.5553305000000001	0.1848173	0.24319050000000003	0.5864016	0.5177319	0.0101324	0.3462682	0.19752089999999997	0.640421	9
1668	260.0	0.04672	0.552231	0.2365571	0.2538667	0.7155545	0.5731649999999999	0.008690100000000001	0.32327480000000003	0.1806654	0.6558844	9
1669	265.0	0.0600688	0.5173395000000001	0.2525404	0.26819	0.7120761999999999	0.5948106	0.0078039	0.32304429999999995	0.16369070000000002	0.6513733	9
1670	270.0	0.0685956	0.567042	0.25361910000000004	0.2117817	0.7360736	0.6565850999999999	0.0077933	0.346686	0.158692	0.8349843000000001	9
1671	275.0	0.06287609999999999	0.6049922	0.23219050000000002	0.24368560000000003	0.7401608000000001	0.6071816	0.0052882	0.34786290000000003	0.1290189	0.6442634	9
1672	280.0	0.0749593	0.6439547	0.2871675	0.2499152	0.7601684	0.651454	0.005710600000000001	0.38483629999999996	0.2165125	0.58863	9
1673	285.0	0.038338599999999994	0.5477214	0.25693530000000003	0.2598127	0.6670435	0.6730208000000001	0.006616500000000001	0.3593171	0.1224779	0.7249069	9
1674	290.0	0.06982510000000001	0.6219791	0.23882870000000003	0.20765279999999997	0.59005	0.6263958000000001	0.011882700000000001	0.33433559999999996	0.20517080000000001	0.5326593000000001	9
1675	295.0	0.0695943	0.5815978	0.2007287	0.2767085	0.6553349	0.5890813	0.011231	0.3689015	0.19147809999999998	0.6375261999999999	9
1676	300.0	0.055537699999999995	0.5326187	0.2909134	0.27919479999999997	0.6052916	0.6857991999999999	0.0087409	0.33018569999999997	0.1720265	0.5691603	9
1677	305.0	0.0465286	0.48063059999999996	0.2438821	0.30231790000000003	0.6643264	0.5815588	0.005866399999999999	0.3444949	0.1944398	0.6410118	9
1678	310.0	0.063154	0.4946342000000001	0.26595040000000003	0.24668520000000002	0.7627965	0.6519675	0.006436399999999999	0.34120170000000005	0.1713792	0.6077955	9
1679	315.0	0.0592096	0.5192399000000001	0.2509572	0.27947150000000004	0.5991213000000001	0.5628354999999999	0.0110043	0.3336451	0.1989996	0.5895166000000001	9
1680	320.0	0.1318213	0.5989845	0.2825925	0.2669953	0.6348486	0.5374668	0.0184946	0.4418937	0.2655923	0.5873949	9
1681	325.0	0.08686039999999999	0.5196416	0.23256010000000002	0.3053425	0.6612909	0.5545892	0.0042456	0.36282259999999994	0.20553200000000002	0.6647951999999999	9
1682	330.0	0.0854168	0.5312104999999999	0.20195	0.2402719	0.6073876	0.7487838000000001	0.0095052	0.4102198	0.2154967	0.6466435	9
1683	335.0	0.0687561	0.5925071	0.3293962	0.2735568	0.6367871999999999	0.7304337	0.010291400000000001	0.3304586	0.2145676	0.6318183	9
1684	340.0	0.09176050000000001	0.6224835	0.2475513	0.190969	0.6364628999999999	0.6560943	0.0072178	0.3905605	0.1642076	0.5924898000000001	9
1685	345.0	0.0707518	0.5037747	0.2891844	0.24226639999999997	0.6742888000000001	0.5641204000000001	0.008740000000000001	0.2896616	0.1760149	0.6469712	9
1686	350.0	0.07188969999999999	0.5450081999999999	0.22685570000000002	0.2309098	0.6499204000000001	0.5974242	0.0042173	0.3520062	0.1737589	0.6591236	9
1687	355.0	0.0863125	0.5891433	0.26288249999999996	0.22871570000000002	0.5554008	0.6608915	0.004047	0.33054340000000004	0.21459770000000003	0.6232295999999999	9
1688	360.0	0.0963069	0.5735328000000001	0.2544788	0.2423596	0.7220603	0.5392734	0.0089169	0.31549240000000006	0.1881823	0.5790097	9
1689	365.0	0.08681439999999999	0.49171570000000003	0.3029803	0.2326585	0.7003264	0.5194384	0.019145099999999998	0.33282540000000005	0.1260518	0.5736456	9
1690	370.0	0.09133789999999999	0.5229389	0.28508790000000006	0.3057295	0.6301198	0.6657981	0.006433199999999999	0.263858	0.1263732	0.6344696	9
1691	375.0	0.1022485	0.39643340000000005	0.31326679999999996	0.18616329999999998	0.6822064999999999	0.6071619	0.0092017	0.3561218	0.16453220000000002	0.6461656	9
1692	380.0	0.097992	0.5092753	0.34858340000000004	0.2504164	0.6284365	0.604747	0.0052004	0.3281693	0.1848348	0.7015584	9
1693	385.0	0.0999577	0.4689342000000001	0.27530129999999997	0.2636794	0.6939390999999999	0.64477	0.0080022	0.32923979999999997	0.1531801	0.7150638000000001	9
1694	390.0	0.1236394	0.5146307999999999	0.2160252	0.2911275	0.6273558000000001	0.5991044	0.0103082	0.3003728	0.1556844	0.6561479	9
1695	395.0	0.1071212	0.46747079999999996	0.2279187	0.250105	0.6633959	0.6600705	0.0015168	0.2946509	0.1544191	0.6055199	9
1696	400.0	0.11661700000000001	0.48150249999999994	0.2490975	0.30764450000000004	0.6624871	0.4927415	0.0173037	0.3374949	0.18079720000000002	0.697852	9
1697	405.0	0.12320739999999998	0.45700230000000003	0.2452151	0.27849509999999994	0.6367463000000001	0.6253481	0.013083299999999999	0.4212183	0.18718270000000004	0.6396102	9
1698	410.0	0.11110360000000001	0.5614091999999999	0.26361890000000004	0.3580506	0.6986069	0.6232694999999999	0.0151612	0.2938991	0.18463870000000002	0.6897741999999999	9
1699	415.0	0.1091214	0.5426954	0.2221702	0.2538264	0.6986809	0.5170057	0.0064987	0.259135	0.1106725	0.6173375	9
1700	420.0	0.0936099	0.564922	0.30457280000000003	0.24567329999999998	0.6665389	0.5473545999999999	0.035979500000000005	0.3381126	0.19429760000000001	0.6449603	9
1701	425.0	0.1287413	0.5996653000000001	0.21269229999999997	0.3041333	0.7455212	0.5919336	0.0188471	0.3742357	0.17350420000000003	0.5806281	9
1702	430.0	0.09534019999999999	0.4606703	0.3095268	0.3185746	0.7707206999999999	0.49952340000000006	0.011113	0.3496077	0.18289629999999998	0.5583486	9
1703	435.0	0.098186	0.5972989000000001	0.2666476	0.43127029999999994	0.5876944000000001	0.5573765	0.012327600000000001	0.24318089999999998	0.13758789999999999	0.5817068	9
1704	440.0	0.09183989999999999	0.48663609999999996	0.18802049999999998	0.31415959999999993	0.7659372	0.5713617	0.0119015	0.299553	0.17642420000000003	0.6487408	9
1705	445.0	0.0940471	0.6106760999999999	0.26134189999999996	0.295136	0.6784113	0.621008	0.0081946	0.3281958	0.17046050000000001	0.6067175	9
1706	450.0	0.1273594	0.5628579	0.2189719	0.3072553	0.762794	0.5169971	0.0249193	0.29057140000000004	0.1562162	0.633273	9
1707	455.0	0.09679580000000002	0.5661414	0.22226120000000002	0.46103879999999997	0.5840335999999999	0.544616	0.0197054	0.360703	0.1686198	0.6375506	9
1708	460.0	0.118692	0.49223279999999997	0.2309284	0.3604839	0.7151892	0.5106917000000001	0.0095957	0.4152996	0.142452	0.5624237	9
1709	465.0	0.0919432	0.5362911	0.27868059999999995	0.3491488	0.6689722	0.44554940000000004	0.0129153	0.4116402	0.17974489999999999	0.7066007	9
1710	470.0	0.1426595	0.5892016	0.26801529999999996	0.28456509999999996	0.6877920999999999	0.5254344	0.0109059	0.3710345	0.1272579	0.5368535	9
1711	475.0	0.07330489999999999	0.5248469	0.23509139999999998	0.3478659	0.6357359	0.5548234000000001	0.021725900000000003	0.3126556	0.1565971	0.7011135000000001	9
1712	480.0	0.09727469999999999	0.6412793999999999	0.2137802	0.2978298	0.6914819000000001	0.5707993	0.0114316	0.3423058	0.14024	0.666459	9
1713	485.0	0.09159810000000002	0.5851212	0.22212579999999998	0.3514933	0.7660617	0.6159889000000001	0.025661	0.359504	0.1772639	0.7342669	9
1714	490.0	0.07788289999999999	0.44763100000000006	0.2705145	0.33399070000000003	0.5562399	0.5781203	0.0203293	0.3638984	0.2460732	0.6201393	9
1715	495.0	0.10347449999999998	0.4949367	0.19874239999999999	0.2807114	0.5895436	0.6207672	0.0080173	0.3659421	0.17388900000000002	0.6691215	9
1716	500.0	0.1147884	0.5300803000000001	0.2429015	0.35754020000000003	0.504179	0.5554140000000001	0.0122787	0.2997588	0.14642070000000001	0.5720358	9
1717	505.0	0.09257649999999999	0.6235586999999999	0.2531936	0.36617209999999994	0.5998648	0.5705193000000001	0.04138119999999999	0.3747812	0.24087820000000001	0.7604602	9
1718	510.0	0.1342202	0.585302	0.2292516	0.3399311	0.6388254	0.5483906	0.033475	0.4513667	0.2960717	0.6042692	9
1719	515.0	0.0799963	0.5912752	0.2812893	0.36151120000000003	0.6501949	0.5648510999999999	0.0453528	0.5176767	0.3518341	0.5823752	9
1720	520.0	0.1038597	0.6231760000000001	0.2309429	0.2763	0.6298657	0.5266233	0.054624599999999995	0.4711157999999999	0.3778094	0.6468689999999999	9
1721	525.0	0.11520739999999999	0.6036286	0.2423705	0.2941388	0.6115038	0.48446320000000004	0.07739800000000001	0.5261366	0.4499459	0.6080154999999999	9
1722	530.0	0.1118187	0.6149747	0.2309288	0.3002695	0.5687966	0.5293469	0.09287619999999999	0.561635	0.4884597	0.685296	9
1723	535.0	0.0781032	0.6690054	0.22300749999999997	0.2427875	0.7375295000000001	0.5697817	0.0870247	0.5017202000000001	0.5194639	0.6885502	9
1724	540.0	0.0688438	0.6084779	0.1913236	0.2464732	0.7265995	0.582897	0.10467910000000001	0.630079	0.47635720000000004	0.6207258000000001	9
1725	545.0	0.07287189999999999	0.5815616	0.2467929	0.2328444	0.6294441999999999	0.5197274000000001	0.1252242	0.6548345999999999	0.5115089	0.6369147	9
1726	550.0	0.0874298	0.589264	0.2988329	0.24951500000000001	0.6843117	0.4812326	0.1374538	0.5328523000000001	0.474233	0.5830828	9
1727	555.0	0.09116010000000001	0.6057685	0.20229679999999997	0.20847529999999997	0.6470098000000001	0.4830866	0.1394955	0.5698715	0.49118829999999997	0.6283354	9
1728	560.0	0.0693	0.5325655	0.2933219	0.18270999999999998	0.6162234999999999	0.5777653	0.1136615	0.6050524	0.5067216	0.6038937	9
1729	565.0	0.060509900000000005	0.5668724	0.1804221	0.1844988	0.6883417	0.6405183000000001	0.118157	0.6741307	0.48949840000000006	0.5588161	9
1730	570.0	0.0589352	0.6190623000000001	0.23768040000000001	0.23114780000000001	0.645402	0.5917653	0.13058150000000002	0.6386065	0.5837964	0.6799038000000001	9
1731	575.0	0.0695289	0.6590325	0.2595966	0.2042328	0.6596495	0.6263016	0.1429321	0.6668309	0.6666345	0.6463529	9
1732	580.0	0.0532812	0.5906281	0.19277729999999998	0.19865739999999998	0.6315301	0.5136577999999999	0.16027049999999998	0.5389172	0.6031545	0.6172138	9
1733	585.0	0.09500650000000001	0.5947444000000001	0.2772803	0.1557599	0.6204297	0.5706419	0.1268925	0.6523893	0.5954959	0.6640491	9
1734	590.0	0.09540939999999999	0.6513124	0.26805359999999995	0.13889179999999998	0.6356338	0.5399837	0.1452362	0.5794126	0.5478989000000001	0.570046	9
1735	595.0	0.0662314	0.6543595	0.2366152	0.16207190000000002	0.6746063	0.48709540000000007	0.1751478	0.5309728	0.5229311	0.6252593000000001	9
1736	600.0	0.0694451	0.746983	0.16776649999999999	0.1504698	0.64681	0.6104516	0.149757	0.5632781	0.6407143	0.6836257	9
1737	605.0	0.08202469999999999	0.6380903	0.2958398	0.23477989999999999	0.6180485	0.517202	0.1793799	0.5838223000000001	0.5660350000000001	0.6864286	9
1738	610.0	0.08558260000000001	0.6003286	0.2202587	0.1394533	0.7366223000000001	0.47227820000000004	0.1159063	0.5138839	0.6006679	0.67357	9
1739	615.0	0.1001735	0.6352057	0.20850239999999998	0.1285173	0.6287394000000001	0.581834	0.1776567	0.5573191999999999	0.4991697	0.7720905	9
1740	620.0	0.065263	0.6319899	0.23653659999999999	0.11330719999999998	0.7564651	0.49882029999999994	0.157271	0.5848105	0.5898444	0.7315986999999999	9
1741	625.0	0.0765186	0.7111510999999999	0.2054119	0.13953139999999997	0.5624226999999999	0.5071911	0.13619820000000002	0.7237331	0.5826284	0.6267774	9
1742	630.0	0.0889527	0.6576042	0.2694227	0.1062702	0.6146351999999999	0.4536338	0.1625769	0.6202564	0.699334	0.5459082	9
1743	635.0	0.0665369	0.5408515	0.2974536	0.0874841	0.5917685	0.5040994000000001	0.2049619	0.5080326000000001	0.5201117000000001	0.5831243	9
1744	640.0	0.0485804	0.6204022	0.1882677	0.10428620000000001	0.7538402	0.4770389	0.1609253	0.5905272	0.6785635	0.6642583000000001	9
1745	645.0	0.0641375	0.5775041999999999	0.26628090000000004	0.12389569999999998	0.7455648	0.5122035	0.2090214	0.5528327	0.7350806	0.5826899	9
1746	650.0	0.0675374	0.7350260999999999	0.1930511	0.10297239999999999	0.6539154	0.46124490000000007	0.16377560000000002	0.6092602	0.6969989999999999	0.7187121999999999	9
1747	655.0	0.07365139999999999	0.7201217	0.20565	0.0687821	0.6511316	0.5651535	0.14101329999999998	0.6421799	0.6423816999999999	0.6919881999999999	9
1748	660.0	0.0724809	0.5035945	0.190848	0.048522	0.6282621	0.46212770000000003	0.1745979	0.5722981	0.5732909	0.7283666	9
1749	665.0	0.116677	0.6069621999999999	0.14847760000000002	0.0575366	0.6931001	0.47389560000000003	0.1433465	0.5805486999999999	0.673125	0.6078880999999999	9
1750	670.0	0.0711739	0.5508371	0.22057470000000004	0.05685459999999999	0.6305745	0.41201530000000003	0.21149749999999998	0.6495201	0.5675311	0.6488133	9
1751	675.0	0.11773430000000001	0.6394314999999999	0.22161329999999999	0.0601914	0.6110194999999999	0.47447799999999996	0.2277295	0.5914491	0.7123494	0.659652	9
1752	680.0	0.0737365	0.6391179	0.24238160000000003	0.0746958	0.6958034000000001	0.4452939	0.20945479999999997	0.6817824	0.6398383000000001	0.6851343000000001	9
1753	685.0	0.0800331	0.564551	0.2183986	0.08629010000000001	0.6521670999999999	0.45828800000000003	0.18881170000000003	0.6043265999999999	0.6019462	0.634959	9
1754	690.0	0.0767771	0.6439668000000001	0.18263089999999998	0.0672253	0.7097178000000001	0.5389654	0.177284	0.6220285	0.6125653	0.6401170999999999	9
1755	695.0	0.0852207	0.6638375	0.1683348	0.1387035	0.7317210999999999	0.397687	0.1388884	0.5842038	0.5428574	0.6375392	9
1756	700.0	0.0633144	0.6266944999999999	0.23535630000000002	0.07258939999999998	0.7662797	0.4063776	0.1795035	0.6043111999999999	0.5483561	0.6039893	9
1757	705.0	0.07016069999999999	0.6094755000000001	0.23415479999999997	0.1249425	0.624105	0.369911	0.1732733	0.6793846	0.5276426	0.5685745	9
1758	710.0	0.0841719	0.641865	0.2274507	0.067254	0.6016868000000001	0.4441433	0.1865808	0.6781233	0.5972746999999999	0.6884541000000001	9
1759	715.0	0.0594331	0.671755	0.2001086	0.094047	0.6749826	0.4938701	0.17736870000000002	0.7739698	0.7055279000000001	0.5357263000000001	9
1760	720.0	0.051479899999999995	0.7800388	0.2820353	0.06751360000000001	0.5803049	0.41451720000000003	0.17974089999999998	0.6458626000000001	0.6392064000000001	0.547187	9
1761	725.0	0.0505009	0.6399571	0.20716020000000004	0.08243510000000001	0.7005382	0.4835411	0.19046760000000001	0.6611491	0.5575383	0.6508155	9
1762	730.0	0.11577080000000001	0.7631993	0.1946133	0.0554563	0.7221755999999999	0.4420099	0.2285064	0.6178781999999999	0.7730753	0.5828929	9
1763	735.0	0.1160471	0.7564846	0.1449701	0.08618680000000001	0.7029890000000001	0.3692922	0.1856632	0.6748429	0.6032393	0.6365743	9
1764	740.0	0.0778745	0.6151289000000001	0.18140479999999998	0.0706773	0.73353	0.4571331	0.1386625	0.6137100000000001	0.6135349	0.6820593	9
1765	745.0	0.0742437	0.7128166	0.19686689999999998	0.0938503	0.6931315	0.3910726	0.1997805	0.7765648	0.5866125	0.6171776	9
1766	750.0	0.056303599999999995	0.5921876	0.1799033	0.1144982	0.5640970999999999	0.4090685	0.213547	0.6493166	0.7404324999999999	0.6679609000000001	9
1767	755.0	0.0703232	0.5828563	0.23110229999999995	0.0824865	0.7120643	0.41383809999999993	0.20634029999999998	0.6865920999999999	0.7381233	0.6933234	9
1768	760.0	0.07885510000000001	0.6124430000000001	0.2044525	0.084354	0.6772282	0.4097134	0.1483886	0.688346	0.5904946	0.736517	9
1769	765.0	0.0424714	0.6432484	0.154066	0.09577689999999998	0.6762564	0.35416149999999996	0.1463898	0.7391886	0.6320209	0.7144109000000001	9
1770	770.0	0.0678985	0.6068387	0.25423850000000003	0.0878693	0.6723941	0.5188688	0.173791	0.6485713000000001	0.5973143	0.5239694	9
1771	775.0	0.058810900000000006	0.5976699000000001	0.1479511	0.09040269999999999	0.6018294	0.5627765	0.1802618	0.6908211	0.6079314	0.5930959	9
1772	780.0	0.0628563	0.535293	0.1830719	0.0809315	0.49798509999999996	0.44294520000000004	0.13615729999999998	0.7446444999999999	0.5738243000000001	0.5971793000000001	9
1773	785.0	0.0836777	0.5617975000000001	0.1802986	0.094493	0.6522258000000001	0.3959873	0.13894920000000002	0.6360653000000001	0.5900968000000001	0.6320683000000001	9
1774	790.0	0.0485916	0.6438495	0.254387	0.06946210000000001	0.7070583	0.4943839	0.21859189999999998	0.6163122	0.7410251	0.5668893	9
1775	795.0	0.0838264	0.6835028000000001	0.1948937	0.1098597	0.7087393	0.5306858	0.188343	0.6792658	0.6714008	0.6093900999999999	9
1776	800.0	0.057663	0.7426199	0.1915665	0.07026349999999999	0.6337116	0.3809738	0.13695870000000002	0.5936973000000001	0.6229138000000001	0.5605468000000001	9
1777	805.0	0.08708250000000001	0.6671020999999999	0.239896	0.06721669999999999	0.6146089	0.45738490000000004	0.1889718	0.6395668000000001	0.7527615	0.5336191	9
1778	810.0	0.0839052	0.7153144	0.2551661	0.0730296	0.656026	0.5182177	0.1990834	0.741911	0.5852795	0.5614688	9
1779	815.0	0.04557340000000001	0.6034151999999999	0.25199160000000004	0.0535701	0.6276629	0.47703959999999995	0.2553886	0.6582376	0.6196614	0.5470215	9
1780	820.0	0.0645936	0.6476337	0.281499	0.100478	0.5525639	0.49735070000000003	0.1298542	0.6854212	0.5603733	0.5297170999999999	9
1781	825.0	0.05228769999999999	0.6503143	0.3220068	0.1221934	0.7199521	0.44478029999999996	0.1859654	0.64358	0.5512657	0.6375385	9
1782	830.0	0.052561199999999995	0.717701	0.2536289	0.1264947	0.6281523	0.48176369999999996	0.1913989	0.6885251	0.6011803000000001	0.5429778000000001	9
1783	835.0	0.048890300000000005	0.6427295	0.3158796	0.0730818	0.7132076	0.4483195	0.1529073	0.7047578	0.6190583000000001	0.6457748000000001	9
