	Time	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	Rep
1414	0.0	0.0964004	0.5891293000000001	0.2712962	0.0841792	0.6830776	0.5277863	0.17896199999999998	0.6996791	0.6849568	0.7440760999999999	8
1415	5.0	0.0908609	0.5924038	0.2101998	0.1415231	0.6405875	0.44643230000000006	0.2063335	0.6365064	0.6125109000000001	0.6137308000000001	8
1416	10.0	0.0796321	0.6519049	0.18773720000000002	0.0755217	0.5602956	0.4474392	0.2342866	0.6984588	0.6406729	0.5235549	8
1417	15.0	0.0277018	0.6376114	0.2096906	0.1040106	0.554852	0.5388206	0.1202923	0.6527852	0.6100405	0.6446585	8
1418	20.0	0.05857869999999999	0.5635600000000001	0.1600334	0.09061910000000001	0.6438809	0.5076267	0.1181599	0.7164464	0.4664438	0.5663535	8
1419	25.0	0.0385603	0.5686318	0.11436189999999999	0.0554721	0.6175144	0.5225194000000001	0.12804400000000002	0.7149909000000001	0.5488903	0.6140952	8
1420	30.0	0.0202118	0.6042791999999999	0.15292750000000002	0.0848523	0.5969479	0.4986352	0.12416789999999998	0.6374466	0.522105	0.6494939000000001	8
1421	35.0	0.031684699999999996	0.5705264	0.12424949999999998	0.0895612	0.6567418	0.5815064999999999	0.179541	0.6336176	0.44814079999999995	0.6529832	8
1422	40.0	0.0528011	0.6009638	0.08682680000000001	0.09199410000000001	0.6221746	0.5367002	0.1067697	0.7744592	0.4137268	0.702592	8
1423	45.0	0.0266378	0.6278946	0.0980346	0.0608365	0.6809405	0.4467939	0.1269933	0.7694167	0.47638679999999994	0.8131154	8
1424	50.0	0.0193094	0.5664409	0.0743457	0.0965585	0.6890525	0.464682	0.0873671	0.7293889	0.4396665	0.8226245000000001	8
1425	55.0	0.0114001	0.6377894000000001	0.09161699999999999	0.1036143	0.7084017	0.40996940000000004	0.105947	0.6387986	0.4063685	0.6572292	8
1426	60.0	0.0056138	0.6375598000000001	0.17942360000000002	0.07851160000000001	0.6565398	0.4154812	0.03714	0.6399925999999999	0.40395149999999996	0.6378766	8
1427	65.0	0.0079332	0.7321057	0.1024443	0.138534	0.6070148	0.4293982	0.10268900000000002	0.6307195999999999	0.3180572	0.7353453000000001	8
1428	70.0	0.005788399999999999	0.5841396	0.060693	0.0864206	0.6738149	0.31107070000000003	0.05176409999999999	0.6766059	0.4037642	0.6440318	8
1429	75.0	0.0083131	0.6673376999999999	0.0580663	0.0579144	0.586326	0.34610949999999996	0.08181619999999999	0.6984706999999999	0.3540875	0.6565771	8
1430	80.0	0.00474	0.5605359000000001	0.0662528	0.059028599999999994	0.6633574999999999	0.40864609999999996	0.0686074	0.744675	0.3557009	0.5947458999999999	8
1431	85.0	0.0068268999999999995	0.7108018	0.0391468	0.0796727	0.7205469	0.3752509	0.09250950000000001	0.7048485999999999	0.2996331	0.6120946	8
1432	90.0	0.0103351	0.6377997	0.027248200000000004	0.1236355	0.6036468	0.31003420000000004	0.10958910000000001	0.7507037	0.358452	0.6207263000000001	8
